	S7	S8	S9	S10
dre-mir-15a-1-5p	2	1	0	1
dre-mir-196a-2-5p	3	2	1	0
dre-mir-2193-3p	2	1	1	0
dre-mir-429a-5p	2	0	1	1
dre-mir-24-3-3p	1	2	2	1
dre-mir-2196-5p	1	2	0	0
dre-mir-732-5p	3	2	1	0
dre-mir-430b-4-3p	1	2	0	0
dre-mir-184-2-3p	0	1	0	1
dre-mir-202-3p	0	0	1	2
dre-mir-734-5p	1	1	0	0
dre-mir-430a-1-3p	1	0	0	0
dre-mir-124-5-3p	1	1	0	1
dre-let-7d-1-3p	0	0	0	1
dre-mir-107b-5p	1	0	0	0
dre-mir-133a-1-5p	0	1	0	0
dre-mir-193a-1-3p	0	1	0	0
dre-mir-365-2-5p	2	0	1	0
dre-mir-723-5p	2	0	0	0
dre-mir-2195-5p	1	0	0	0
dre-mir-132-2-3p	0	1	1	0
dre-mir-9-3-3p	0	0	1	0
dre-mir-137-1-3p	2	0	0	0
dre-mir-2195-3p	2	0	1	0
dre-mir-461-3p	1	0	0	0
dre-mir-2194-5p	1	0	1	0
dre-mir-2197-3p	1	1	0	0
dre-let-7a-4-5p	1	0	0	0
dre-mir-155-3p	2	0	0	2
dre-mir-135c-2-5p	0	0	0	1
dre-mir-459-5p	1	0	1	0
dre-mir-2198-5p	0	0	1	0
dre-mir-135a-3p	1	0	0	0
dre-mir-9-1-5p	0	0	1	0
dre-mir-430b-19-3p	1	0	0	0
dre-mir-124-3-3p	1	0	0	1
dre-mir-193a-2-3p	1	0	0	0
dre-mir-124-4-3p	1	0	1	0
dre-mir-27e-5p	0	0	1	1
totaldepth	15888182	5042590	4161547	3854469
